# -19.66611488335333, 0, 6.31002221664667
(-19.854343, -0.492646, 6.105524), (-19.694115, -0.484881, 6.109171), (-19.695358, -0.477378, 5.946414)
(-19.854343, -0.492646, 6.105524), (-19.855164, -0.491254, 6.267771), (-19.694115, -0.484881, 6.109171)
(-19.694115, -0.484881, 6.109171), (-19.539873, -0.454222, 6.112492), (-19.541452, -0.445513, 5.949821)
(-19.694115, -0.484881, 6.109171), (-19.694626, -0.484771, 6.271473), (-19.539873, -0.454222, 6.112492)
(-19.539873, -0.454222, 6.112492), (-19.391752, -0.400247, 6.115423), (-19.393618, -0.390911, 5.953064)
(-19.539873, -0.454222, 6.112492), (-19.540045, -0.455237, 6.274661), (-19.391752, -0.400247, 6.115423)
(-19.391752, -0.400247, 6.115423), (-19.249424, -0.324399, 6.117988), (-19.251562, -0.314754, 5.956171)
(-19.391752, -0.400247, 6.115423), (-19.391514, -0.40243, 6.277262), (-19.249424, -0.324399, 6.117988)
(-19.855164, -0.491254, 6.267771), (-19.857603, -0.483532, 6.429034), (-19.694626, -0.484771, 6.271473)
(-19.855164, -0.491254, 6.267771), (-19.694626, -0.484771, 6.271473), (-19.694115, -0.484881, 6.109171)
(-19.694626, -0.484771, 6.271473), (-19.696783, -0.477719, 6.432755), (-19.540045, -0.455237, 6.274661)
(-19.694626, -0.484771, 6.271473), (-19.540045, -0.455237, 6.274661), (-19.539873, -0.454222, 6.112492)
(-19.540045, -0.455237, 6.274661), (-19.391514, -0.40243, 6.277262), (-19.391752, -0.400247, 6.115423)
(-19.540045, -0.455237, 6.274661), (-19.541828, -0.449013, 6.435818), (-19.391514, -0.40243, 6.277262)
(-19.391514, -0.40243, 6.277262), (-19.392864, -0.397073, 6.438122), (-19.24877, -0.327302, 6.279299)
(-19.391514, -0.40243, 6.277262), (-19.24877, -0.327302, 6.279299), (-19.249424, -0.324399, 6.117988)
(-19.857603, -0.483532, 6.429034), (-19.696783, -0.477719, 6.432755), (-19.694626, -0.484771, 6.271473)
(-19.857603, -0.483532, 6.429034), (-19.861565, -0.469546, 6.589081), (-19.696783, -0.477719, 6.432755)
(-19.696783, -0.477719, 6.432755), (-19.541828, -0.449013, 6.435818), (-19.540045, -0.455237, 6.274661)
(-19.696783, -0.477719, 6.432755), (-19.700485, -0.464312, 6.592751), (-19.541828, -0.449013, 6.435818)
(-19.541828, -0.449013, 6.435818), (-19.392864, -0.397073, 6.438122), (-19.391514, -0.40243, 6.277262)
(-19.541828, -0.449013, 6.435818), (-19.545212, -0.436201, 6.595675), (-19.392864, -0.397073, 6.438122)
(-19.392864, -0.397073, 6.438122), (-19.249632, -0.322991, 6.439674), (-19.24877, -0.327302, 6.279299)
(-19.392864, -0.397073, 6.438122), (-19.395876, -0.38478, 6.597742), (-19.249632, -0.322991, 6.439674)
(-19.861565, -0.469546, 6.589081), (-19.867149, -0.449812, 6.747716), (-19.700485, -0.464312, 6.592751)
(-19.861565, -0.469546, 6.589081), (-19.700485, -0.464312, 6.592751), (-19.696783, -0.477719, 6.432755)
(-19.700485, -0.464312, 6.592751), (-19.705893, -0.444422, 6.751322), (-19.545212, -0.436201, 6.595675)
(-19.700485, -0.464312, 6.592751), (-19.545212, -0.436201, 6.595675), (-19.541828, -0.449013, 6.435818)
(-19.545212, -0.436201, 6.595675), (-19.550308, -0.416523, 6.754112), (-19.395876, -0.38478, 6.597742)
(-19.545212, -0.436201, 6.595675), (-19.395876, -0.38478, 6.597742), (-19.392864, -0.397073, 6.438122)
(-19.395876, -0.38478, 6.597742), (-19.400549, -0.365474, 6.755982), (-19.252256, -0.310796, 6.598958)
(-19.395876, -0.38478, 6.597742), (-19.252256, -0.310796, 6.598958), (-19.249632, -0.322991, 6.439674)
# -18.99834465002, 0, 6.31002221664667
(-19.249424, -0.324399, 6.117988), (-19.112288, -0.229278, 6.12024), (-19.114683, -0.219478, 5.959192)
(-19.249424, -0.324399, 6.117988), (-19.24877, -0.327302, 6.279299), (-19.112288, -0.229278, 6.12024)
(-19.112288, -0.229278, 6.12024), (-18.979277, -0.119099, 6.122251), (-18.981899, -0.109507, 5.962179)
(-19.112288, -0.229278, 6.12024), (-19.111168, -0.232921, 6.28081), (-18.979277, -0.119099, 6.122251)
(-18.979277, -0.119099, 6.122251), (-18.848356, -0.001402, 6.124079), (-18.851126, 0.007578, 5.965131)
(-18.979277, -0.119099, 6.122251), (-18.977753, -0.122947, 6.281887), (-18.848356, -0.001402, 6.124079)
(-18.848356, -0.001402, 6.124079), (-18.71686, 0.113363, 6.125767), (-18.719652, 0.12153, 5.96795)
(-18.848356, -0.001402, 6.124079), (-18.846611, -0.00488, 6.282681), (-18.71686, 0.113363, 6.125767)
(-18.71686, 0.113363, 6.125767), (-18.582394, 0.215897, 6.127316), (-18.584999, 0.222764, 5.97053)
(-18.71686, 0.113363, 6.125767), (-18.715063, 0.110698, 6.283307), (-18.582394, 0.215897, 6.127316)
(-19.24877, -0.327302, 6.279299), (-19.249632, -0.322991, 6.439674), (-19.111168, -0.232921, 6.28081)
(-19.24877, -0.327302, 6.279299), (-19.111168, -0.232921, 6.28081), (-19.112288, -0.229278, 6.12024)
(-19.111168, -0.232921, 6.28081), (-19.111546, -0.228899, 6.440575), (-18.977753, -0.122947, 6.281887)
(-19.111168, -0.232921, 6.28081), (-18.977753, -0.122947, 6.281887), (-18.979277, -0.119099, 6.122251)
(-18.977753, -0.122947, 6.281887), (-18.846611, -0.00488, 6.282681), (-18.848356, -0.001402, 6.124079)
(-18.977753, -0.122947, 6.281887), (-18.977612, -0.119847, 6.440865), (-18.846611, -0.00488, 6.282681)
(-18.846611, -0.00488, 6.282681), (-18.846027, -0.002313, 6.440752), (-18.715063, 0.110698, 6.283307)
(-18.846611, -0.00488, 6.282681), (-18.715063, 0.110698, 6.283307), (-18.71686, 0.113363, 6.125767)
(-18.715063, 0.110698, 6.283307), (-18.714161, 0.113036, 6.440405), (-18.580624, 0.21388, 6.283855)
(-18.715063, 0.110698, 6.283307), (-18.580624, 0.21388, 6.283855), (-18.582394, 0.215897, 6.127316)
(-19.249632, -0.322991, 6.439674), (-19.111546, -0.228899, 6.440575), (-19.111168, -0.232921, 6.28081)
(-19.249632, -0.322991, 6.439674), (-19.252256, -0.310796, 6.598958), (-19.111546, -0.228899, 6.440575)
