# -9.64956138335333, 0, 6.977792449980003
(-9.841063, 0.285211, 6.737187), (-9.684093, 0.296496, 6.737425), (-9.682448, 0.314, 6.585005)
(-9.841063, 0.285211, 6.737187), (-9.842715, 0.270972, 6.889508), (-9.684093, 0.296496, 6.737425)
(-9.684093, 0.296496, 6.737425), (-9.527039, 0.30558, 6.737524), (-9.525308, 0.323788, 6.585079)
(-9.684093, 0.296496, 6.737425), (-9.68583, 0.281578, 6.889718), (-9.527039, 0.30558, 6.737524)
(-9.36992, 0.312273, 6.737485), (-9.21276, 0.316436, 6.737297), (-9.210884, 0.335943, 6.584683)
(-9.36992, 0.312273, 6.737485), (-9.371794, 0.296, 6.889847), (-9.21276, 0.316436, 6.737297)
(-9.527039, 0.30558, 6.737524), (-9.36992, 0.312273, 6.737485), (-9.368113, 0.331159, 6.58498)
(-9.527039, 0.30558, 6.737524), (-9.528849, 0.289974, 6.889832), (-9.36992, 0.312273, 6.737485)
(-9.842715, 0.270972, 6.889508), (-9.844487, 0.259644, 7.041793), (-9.68583, 0.281578, 6.889718)
(-9.842715, 0.270972, 6.889508), (-9.68583, 0.281578, 6.889718), (-9.684093, 0.296496, 6.737425)
(-9.68583, 0.281578, 6.889718), (-9.528849, 0.289974, 6.889832), (-9.527039, 0.30558, 6.737524)
(-9.68583, 0.281578, 6.889718), (-9.687675, 0.269664, 7.04196), (-9.528849, 0.289974, 6.889832)
(-9.528849, 0.289974, 6.889832), (-9.530756, 0.277413, 7.042075), (-9.371794, 0.296, 6.889847)
(-9.528849, 0.289974, 6.889832), (-9.371794, 0.296, 6.889847), (-9.36992, 0.312273, 6.737485)
(-9.371794, 0.296, 6.889847), (-9.214689, 0.299547, 6.88975), (-9.21276, 0.316436, 6.737297)
(-9.371794, 0.296, 6.889847), (-9.373752, 0.282809, 7.04213), (-9.214689, 0.299547, 6.88975)
(-9.844487, 0.259644, 7.041793), (-9.687675, 0.269664, 7.04196), (-9.68583, 0.281578, 6.889718)
(-9.844487, 0.259644, 7.041793), (-9.846394, 0.251682, 7.19412), (-9.687675, 0.269664, 7.04196)
(-9.687675, 0.269664, 7.04196), (-9.530756, 0.277413, 7.042075), (-9.528849, 0.289974, 6.889832)
(-9.687675, 0.269664, 7.04196), (-9.689642, 0.261112, 7.194231), (-9.530756, 0.277413, 7.042075)
(-9.530756, 0.277413, 7.042075), (-9.373752, 0.282809, 7.04213), (-9.371794, 0.296, 6.889847)
(-9.530756, 0.277413, 7.042075), (-9.532772, 0.268322, 7.194337), (-9.373752, 0.282809, 7.04213)
(-9.373752, 0.282809, 7.04213), (-9.216682, 0.285712, 7.04212), (-9.214689, 0.299547, 6.88975)
(-9.373752, 0.282809, 7.04213), (-9.375802, 0.273092, 7.194424), (-9.216682, 0.285712, 7.04212)
(-9.846394, 0.251682, 7.19412), (-9.84844, 0.246977, 7.346553), (-9.689642, 0.261112, 7.194231)
(-9.846394, 0.251682, 7.19412), (-9.689642, 0.261112, 7.194231), (-9.687675, 0.269664, 7.04196)
(-9.689642, 0.261112, 7.194231), (-9.691736, 0.255907, 7.346601), (-9.532772, 0.268322, 7.194337)
(-9.689642, 0.261112, 7.194231), (-9.532772, 0.268322, 7.194337), (-9.530756, 0.277413, 7.042075)
(-9.532772, 0.268322, 7.194337), (-9.534901, 0.262568, 7.346685), (-9.375802, 0.273092, 7.194424)
(-9.532772, 0.268322, 7.194337), (-9.375802, 0.273092, 7.194424), (-9.373752, 0.282809, 7.04213)
(-9.375802, 0.273092, 7.194424), (-9.377948, 0.266792, 7.346802), (-9.218756, 0.275355, 7.19449)
(-9.375802, 0.273092, 7.194424), (-9.218756, 0.275355, 7.19449), (-9.216682, 0.285712, 7.04212)
# -8.981791150019998, 0, 6.977792449980003
(-8.741302, 0.313184, 6.735978), (-8.584255, 0.306924, 6.735305), (-8.582211, 0.328409, 6.581997)
(-8.741302, 0.313184, 6.735978), (-8.743325, 0.294644, 6.888914), (-8.584255, 0.306924, 6.735305)
(-8.898422, 0.316892, 6.736543), (-8.741302, 0.313184, 6.735978), (-8.739283, 0.334324, 6.58289)
(-8.898422, 0.316892, 6.736543), (-8.900425, 0.298827, 6.889288), (-8.741302, 0.313184, 6.735978)
(-9.055584, 0.317985, 6.736985), (-8.898422, 0.316892, 6.736543), (-8.89644, 0.337568, 6.583639)
(-9.055584, 0.317985, 6.736985), (-9.057556, 0.300486, 6.889567), (-8.898422, 0.316892, 6.736543)
(-9.21276, 0.316436, 6.737297), (-9.055584, 0.317985, 6.736985), (-9.053649, 0.338103, 6.584243)
(-9.21276, 0.316436, 6.737297), (-9.214689, 0.299547, 6.88975), (-9.055584, 0.317985, 6.736985)
(-8.743325, 0.294644, 6.888914), (-8.58629, 0.288054, 6.888442), (-8.584255, 0.306924, 6.735305)
(-8.743325, 0.294644, 6.888914), (-8.745362, 0.279194, 7.041749), (-8.58629, 0.288054, 6.888442)
(-8.900425, 0.298827, 6.889288), (-8.902457, 0.283836, 7.041938), (-8.743325, 0.294644, 6.888914)
(-8.900425, 0.298827, 6.889288), (-8.743325, 0.294644, 6.888914), (-8.741302, 0.313184, 6.735978)
(-9.057556, 0.300486, 6.889567), (-8.900425, 0.298827, 6.889288), (-8.898422, 0.316892, 6.736543)
(-9.057556, 0.300486, 6.889567), (-9.059577, 0.286059, 7.042058), (-8.900425, 0.298827, 6.889288)
(-9.214689, 0.299547, 6.88975), (-9.216682, 0.285712, 7.04212), (-9.057556, 0.300486, 6.889567)
(-9.214689, 0.299547, 6.88975), (-9.057556, 0.300486, 6.889567), (-9.055584, 0.317985, 6.736985)
(-8.745362, 0.279194, 7.041749), (-8.588321, 0.272233, 7.041491), (-8.58629, 0.288054, 6.888442)
(-8.745362, 0.279194, 7.041749), (-8.747426, 0.267277, 7.194571), (-8.588321, 0.272233, 7.041491)
(-8.902457, 0.283836, 7.041938), (-8.745362, 0.279194, 7.041749), (-8.743325, 0.294644, 6.888914)
(-8.902457, 0.283836, 7.041938), (-8.904538, 0.272408, 7.194576), (-8.745362, 0.279194, 7.041749)
(-9.059577, 0.286059, 7.042058), (-8.902457, 0.283836, 7.041938), (-8.900425, 0.298827, 6.889288)
(-9.059577, 0.286059, 7.042058), (-9.061657, 0.275104, 7.194542), (-8.902457, 0.283836, 7.041938)
(-9.216682, 0.285712, 7.04212), (-9.059577, 0.286059, 7.042058), (-9.057556, 0.300486, 6.889567)
(-9.216682, 0.285712, 7.04212), (-9.218756, 0.275355, 7.19449), (-9.059577, 0.286059, 7.042058)
(-9.218756, 0.275355, 7.19449), (-9.220903, 0.268461, 7.346938), (-9.061657, 0.275104, 7.194542)
(-9.218756, 0.275355, 7.19449), (-9.061657, 0.275104, 7.194542), (-9.059577, 0.286059, 7.042058)
(-9.061657, 0.275104, 7.194542), (-9.063793, 0.267662, 7.347106), (-8.904538, 0.272408, 7.194576)
(-9.061657, 0.275104, 7.194542), (-8.904538, 0.272408, 7.194576), (-8.902457, 0.283836, 7.041938)
(-8.747426, 0.267277, 7.194571), (-8.749504, 0.258822, 7.347461), (-8.590358, 0.259949, 7.194524)
(-8.747426, 0.267277, 7.194571), (-8.590358, 0.259949, 7.194524), (-8.588321, 0.272233, 7.041491)
(-8.904538, 0.272408, 7.194576), (-8.906651, 0.264424, 7.347286), (-8.747426, 0.267277, 7.194571)
(-8.904538, 0.272408, 7.194576), (-8.747426, 0.267277, 7.194571), (-8.745362, 0.279194, 7.041749)
# -8.314020916686664, 0, 6.977792449980003
(-8.113846, 0.274217, 6.732643), (-7.957374, 0.259343, 6.731595), (-7.955358, 0.28099, 6.577332)
(-8.113846, 0.274217, 6.732643), (-8.115834, 0.254887, 6.886513), (-7.957374, 0.259343, 6.731595)
(-8.270501, 0.287261, 6.733618), (-8.113846, 0.274217, 6.732643), (-8.1118, 0.296065, 6.578632)
(-8.270501, 0.287261, 6.733618), (-8.272516, 0.267955, 6.887236), (-8.113846, 0.274217, 6.732643)
(-8.427312, 0.29823, 6.734512), (-8.270501, 0.287261, 6.733618), (-8.268443, 0.309133, 6.579849)
(-8.427312, 0.29823, 6.734512), (-8.429344, 0.279095, 6.887882), (-8.270501, 0.287261, 6.733618)
(-8.584255, 0.306924, 6.735305), (-8.427312, 0.29823, 6.734512), (-8.425254, 0.319963, 6.58098)
(-8.584255, 0.306924, 6.735305), (-8.58629, 0.288054, 6.888442), (-8.427312, 0.29823, 6.734512)
(-8.115834, 0.254887, 6.886513), (-7.959321, 0.240189, 6.88572), (-7.957374, 0.259343, 6.731595)
(-8.115834, 0.254887, 6.886513), (-8.11777, 0.238586, 7.040294), (-7.959321, 0.240189, 6.88572)
(-8.272516, 0.267955, 6.887236), (-8.274495, 0.25168, 7.040763), (-8.115834, 0.254887, 6.886513)
(-8.272516, 0.267955, 6.887236), (-8.115834, 0.254887, 6.886513), (-8.113846, 0.274217, 6.732643)
(-8.429344, 0.279095, 6.887882), (-8.272516, 0.267955, 6.887236), (-8.270501, 0.287261, 6.733618)
(-8.429344, 0.279095, 6.887882), (-8.431356, 0.263012, 7.041161), (-8.272516, 0.267955, 6.887236)
(-8.58629, 0.288054, 6.888442), (-8.588321, 0.272233, 7.041491), (-8.429344, 0.279095, 6.887882)
(-8.58629, 0.288054, 6.888442), (-8.429344, 0.279095, 6.887882), (-8.427312, 0.29823, 6.734512)
(-8.11777, 0.238586, 7.040294), (-7.961202, 0.223933, 7.039764), (-7.959321, 0.240189, 6.88572)
(-8.11777, 0.238586, 7.040294), (-8.119665, 0.225794, 7.194058), (-7.961202, 0.223933, 7.039764)
(-8.274495, 0.25168, 7.040763), (-8.11777, 0.238586, 7.040294), (-8.115834, 0.254887, 6.886513)
(-8.274495, 0.25168, 7.040763), (-8.276449, 0.238987, 7.194271), (-8.11777, 0.238586, 7.040294)
(-8.431356, 0.263012, 7.041161), (-8.274495, 0.25168, 7.040763), (-8.272516, 0.267955, 6.887236)
(-8.431356, 0.263012, 7.041161), (-8.433353, 0.250412, 7.194424), (-8.274495, 0.25168, 7.040763)
(-8.588321, 0.272233, 7.041491), (-8.431356, 0.263012, 7.041161), (-8.429344, 0.279095, 6.887882)
(-8.588321, 0.272233, 7.041491), (-8.590358, 0.259949, 7.194524), (-8.431356, 0.263012, 7.041161)
(-8.119665, 0.225794, 7.194058), (-8.121499, 0.216239, 7.347876), (-7.963025, 0.211106, 7.193789)
(-8.119665, 0.225794, 7.194058), (-7.963025, 0.211106, 7.193789), (-7.961202, 0.223933, 7.039764)
(-8.276449, 0.238987, 7.194271), (-8.278358, 0.22954, 7.347836), (-8.119665, 0.225794, 7.194058)
(-8.276449, 0.238987, 7.194271), (-8.119665, 0.225794, 7.194058), (-8.11777, 0.238586, 7.040294)
(-8.433353, 0.250412, 7.194424), (-8.435328, 0.241215, 7.347749), (-8.276449, 0.238987, 7.194271)
(-8.433353, 0.250412, 7.194424), (-8.276449, 0.238987, 7.194271), (-8.274495, 0.25168, 7.040763)
(-8.590358, 0.259949, 7.194524), (-8.592388, 0.251063, 7.347622), (-8.433353, 0.250412, 7.194424)
(-8.590358, 0.259949, 7.194524), (-8.433353, 0.250412, 7.194424), (-8.431356, 0.263012, 7.041161)
# -7.64625068335333, 0, 6.977792449980003
(-7.33345, 0.186171, 6.727191), (-7.17797, 0.165864, 6.726127), (-7.176287, 0.184557, 6.570777)
(-7.33345, 0.186171, 6.727191), (-7.33513, 0.168949, 6.882257), (-7.17797, 0.165864, 6.726127)
(-7.489126, 0.205992, 6.728287), (-7.33345, 0.186171, 6.727191), (-7.331678, 0.205684, 6.572022)
(-7.489126, 0.205992, 6.728287), (-7.490884, 0.188003, 6.88314), (-7.33345, 0.186171, 6.727191)
(-7.645005, 0.22495, 6.729399), (-7.489126, 0.205992, 6.728287), (-7.487271, 0.226215, 6.573325)
(-7.645005, 0.22495, 6.729399), (-7.646835, 0.206436, 6.884022), (-7.489126, 0.205992, 6.728287)
(-7.801088, 0.242823, 6.73051), (-7.645005, 0.22495, 6.729399), (-7.643082, 0.245803, 6.574659)
(-7.801088, 0.242823, 6.73051), (-7.802984, 0.223935, 6.884887), (-7.645005, 0.22495, 6.729399)
(-7.957374, 0.259343, 6.731595), (-7.801088, 0.242823, 6.73051), (-7.799111, 0.264133, 6.576004)
(-7.957374, 0.259343, 6.731595), (-7.959321, 0.240189, 6.88572), (-7.801088, 0.242823, 6.73051)
(-7.33513, 0.168949, 6.882257), (-7.336712, 0.154305, 7.037268), (-7.17956, 0.14932, 6.88139)
(-7.33513, 0.168949, 6.882257), (-7.17956, 0.14932, 6.88139), (-7.17797, 0.165864, 6.726127)
(-7.490884, 0.188003, 6.88314), (-7.33513, 0.168949, 6.882257), (-7.33345, 0.186171, 6.727191)
(-7.490884, 0.188003, 6.88314), (-7.49255, 0.172802, 7.037929), (-7.33513, 0.168949, 6.882257)
(-7.646835, 0.206436, 6.884022), (-7.64858, 0.190737, 7.038572), (-7.490884, 0.188003, 6.88314)
(-7.646835, 0.206436, 6.884022), (-7.490884, 0.188003, 6.88314), (-7.489126, 0.205992, 6.728287)
(-7.802984, 0.223935, 6.884887), (-7.646835, 0.206436, 6.884022), (-7.645005, 0.22495, 6.729399)
(-7.802984, 0.223935, 6.884887), (-7.804803, 0.207922, 7.039186), (-7.646835, 0.206436, 6.884022)
(-7.959321, 0.240189, 6.88572), (-7.961202, 0.223933, 7.039764), (-7.802984, 0.223935, 6.884887)
(-7.959321, 0.240189, 6.88572), (-7.802984, 0.223935, 6.884887), (-7.801088, 0.242823, 6.73051)
(-7.336712, 0.154305, 7.037268), (-7.18105, 0.135285, 7.036604), (-7.17956, 0.14932, 6.88139)
(-7.336712, 0.154305, 7.037268), (-7.338199, 0.142704, 7.192273), (-7.18105, 0.135285, 7.036604)
(-7.49255, 0.172802, 7.037929), (-7.336712, 0.154305, 7.037268), (-7.33513, 0.168949, 6.882257)
(-7.49255, 0.172802, 7.037929), (-7.494129, 0.16078, 7.192707), (-7.336712, 0.154305, 7.037268)
(-7.64858, 0.190737, 7.038572), (-7.49255, 0.172802, 7.037929), (-7.490884, 0.188003, 6.88314)
(-7.64858, 0.190737, 7.038572), (-7.650249, 0.178417, 7.19311), (-7.49255, 0.172802, 7.037929)
(-7.804803, 0.207922, 7.039186), (-7.64858, 0.190737, 7.038572), (-7.646835, 0.206436, 6.884022)
(-7.804803, 0.207922, 7.039186), (-7.806549, 0.195213, 7.193472), (-7.64858, 0.190737, 7.038572)
(-7.961202, 0.223933, 7.039764), (-7.804803, 0.207922, 7.039186), (-7.802984, 0.223935, 6.884887)
(-7.961202, 0.223933, 7.039764), (-7.963025, 0.211106, 7.193789), (-7.804803, 0.207922, 7.039186)
(-7.338199, 0.142704, 7.192273), (-7.339579, 0.133719, 7.34731), (-7.182445, 0.124056, 7.191815)
(-7.338199, 0.142704, 7.192273), (-7.182445, 0.124056, 7.191815), (-7.18105, 0.135285, 7.036604)
(-7.494129, 0.16078, 7.192707), (-7.495605, 0.151582, 7.347524), (-7.338199, 0.142704, 7.192273)
(-7.494129, 0.16078, 7.192707), (-7.338199, 0.142704, 7.192273), (-7.336712, 0.154305, 7.037268)
