# -5.95952630002, 0, -5.95647930002
377, 15382, 56597
15382, 378, 22013
15381, 377, 22002
378, 15383, 56587
376, 15381, 56607
15383, 379, 22024
15380, 376, 21991
379, 15384, 56577
375, 15380, 56617
15384, 380, 22035
15379, 375, 21980
380, 15385, 56567
15385, 381, 22046
374, 15379, 56627
381, 15386, 56557
15378, 374, 21969
15386, 382, 22057
382, 15387, 56547
22, 15378, 56637
15387, 383, 22068
14906, 22, 16478
373, 14906, 55337
15377, 373, 24268
372, 15377, 55347
14885, 3, 14887
163, 14885, 57737
15167, 163, 19868
162, 15167, 57747
15166, 162, 19857
161, 15166, 57757
15165, 161, 19846
160, 15165, 57767
15164, 160, 19835
159, 15164, 57777
15163, 159, 19824
158, 15163, 57787
15162, 158, 19813
157, 15162, 57797
15161, 157, 19802
156, 15161, 57807
15160, 156, 19791
155, 15160, 57817
15159, 155, 19780
154, 15159, 57827
15158, 154, 19769
23, 15158, 57837
14907, 23, 16588
383, 14907, 56537
22002, 56597, 22118
22002, 377, 56597
56597, 22013, 4724
56597, 15382, 22013
22013, 56587, 22128
22013, 378, 56587
56607, 22002, 4714
56607, 15381, 22002
56587, 22024, 4734
56587, 15383, 22024
21991, 56607, 22108
21991, 376, 56607
22024, 56577, 22138
22024, 379, 56577
56577, 22035, 4744
56577, 15384, 22035
56617, 21991, 4704
56617, 15380, 21991
22035, 56567, 22148
22035, 380, 56567
21980, 56617, 22098
21980, 375, 56617
56567, 22046, 4754
56567, 15385, 22046
56627, 21980, 4694
56627, 15379, 21980
22046, 56557, 22158
22046, 381, 56557
56557, 22057, 4764
56557, 15386, 22057
21969, 56627, 22088
21969, 374, 56627
22057, 56547, 22168
22057, 382, 56547
56637, 21969, 4684
56637, 15378, 21969
56547, 22068, 4774
56547, 15387, 22068
22068, 56537, 22178
22068, 383, 56537
16478, 56637, 22078
16478, 22, 56637
56537, 16588, 1584
56537, 14907, 16588
19791, 57807, 19908
19791, 156, 57807
57817, 19791, 3704
57817, 15160, 19791
55337, 16478, 1474
55337, 14906, 16478
57807, 19802, 3714
57807, 15161, 19802
19780, 57817, 19898
19780, 155, 57817
19802, 57797, 19918
19802, 157, 57797
57827, 19780, 3694
57827, 15159, 19780
19769, 57827, 19888
19769, 154, 57827
57837, 19769, 3684
57837, 15158, 19769
57797, 19813, 3724
57797, 15162, 19813
16588, 57837, 19878
16588, 23, 57837
24268, 55337, 24378
24268, 373, 55337
55347, 24268, 5774
55347, 15377, 24268
24257, 55347, 24368
24257, 372, 55347
19813, 57787, 19928
19813, 158, 57787
57787, 19824, 3734
57787, 15163, 19824
57737, 14887, 183
57737, 14885, 14887
19868, 57737, 19978
19868, 163, 57737
57747, 19868, 3774
57747, 15167, 19868
19857, 57747, 19968
19857, 162, 57747
57757, 19857, 3764
57757, 15166, 19857
19846, 57757, 19958
19846, 161, 57757
57767, 19846, 3754
57767, 15165, 19846
19835, 57767, 19948
19835, 160, 57767
57777, 19835, 3744
57777, 15164, 19835
19824, 57777, 19938
19824, 159, 57777
4714, 22118, 56596
4714, 22002, 22118
22118, 56597, 4724
22118, 4724, 22014
4724, 22128, 56586
4724, 22013, 22128
22128, 56587, 4734
22128, 4734, 22025
22108, 56607, 4714
22108, 4714, 22003
4734, 22138, 56576
4734, 22024, 22138
4704, 22108, 56606
4704, 21991, 22108
22138, 56577, 4744
22138, 4744, 22036
22098, 56617, 4704
22098, 4704, 21992
4744, 22148, 56566
4744, 22035, 22148
4694, 22098, 56616
4694, 21980, 22098
22148, 56567, 4754
22148, 4754, 22047
4754, 22158, 56556
4754, 22046, 22158
22088, 56627, 4694
22088, 4694, 21981
22158, 56557, 4764
22158, 4764, 22058
4684, 22088, 56626
4684, 21969, 22088
4764, 22168, 56546
4764, 22057, 22168
22078, 56637, 4684
22078, 4684, 21970
22168, 56547, 4774
22168, 4774, 22069
4774, 22178, 56536
4774, 22068, 22178
1474, 22078, 56636
1474, 16478, 22078
22178, 56537, 1584
22178, 1584, 16589
3704, 19908, 57806
3704, 19791, 19908
19898, 57817, 3704
19898, 3704, 19792
19908, 57807, 3714
19908, 3714, 19803
24378, 55337, 1474
24378, 1474, 16479
3694, 19898, 57816
3694, 19780, 19898
3714, 19918, 57796
3714, 19802, 19918
19888, 57827, 3694
19888, 3694, 19781
3684, 19888, 57826
3684, 19769, 19888
19878, 57837, 3684
19878, 3684, 19770
19918, 57797, 3724
19918, 3724, 19814
1584, 19878, 57836
1584, 16588, 19878
5774, 24378, 55336
5774, 24268, 24378
24368, 55347, 5774
24368, 5774, 24269
5764, 24368, 55346
5764, 24257, 24368
3724, 19928, 57786
3724, 19813, 19928
19928, 57787, 3734
19928, 3734, 19825
19978, 57737, 183
19978, 183, 15187
3774, 19978, 57736
3774, 19868, 19978
19968, 57747, 3774
19968, 3774, 19869
3764, 19968, 57746
3764, 19857, 19968
19958, 57757, 3764
19958, 3764, 19858
3754, 19958, 57756
3754, 19846, 19958
19948, 57767, 3754
19948, 3754, 19847
3744, 19948, 57766
3744, 19835, 19948
19938, 57777, 3744
19938, 3744, 19836
3734, 19938, 57776
3734, 19824, 19938
22014, 56586, 22129
22014, 4724, 56586
56586, 22025, 4735
56586, 22128, 22025
22025, 56576, 22139
22025, 4734, 56576
56596, 22014, 4725
56596, 22118, 22014
56576, 22036, 4745
56576, 22138, 22036
22003, 56596, 22119
22003, 4714, 56596
22036, 56566, 22149
22036, 4744, 56566
56606, 22003, 4715
56606, 22108, 22003
56566, 22047, 4755
56566, 22148, 22047
22047, 56556, 22159
22047, 4754, 56556
21992, 56606, 22109
21992, 4704, 56606
56556, 22058, 4765
56556, 22158, 22058
56616, 21992, 4705
56616, 22098, 21992
22058, 56546, 22169
22058, 4764, 56546
21981, 56616, 22099
21981, 4694, 56616
56546, 22069, 4775
56546, 22168, 22069
56626, 21981, 4695
56626, 22088, 21981
22069, 56536, 22179
22069, 4774, 56536
21970, 56626, 22089
21970, 4684, 56626
56536, 16589, 1585
56536, 22178, 16589
19792, 57806, 19909
19792, 3704, 57806
57806, 19803, 3715
57806, 19908, 19803
57816, 19792, 3705
57816, 19898, 19792
19803, 57796, 19919
19803, 3714, 57796
56636, 21970, 4685
56636, 22078, 21970
19781, 57816, 19899
19781, 3694, 57816
16589, 57836, 19879
16589, 1584, 57836
57796, 19814, 3725
57796, 19918, 19814
57826, 19781, 3695
57826, 19888, 19781
57836, 19770, 3685
57836, 19878, 19770
19814, 57786, 19929
19814, 3724, 57786
19770, 57826, 19889
19770, 3684, 57826
57786, 19825, 3735
57786, 19928, 19825
16479, 56636, 22079
16479, 1474, 56636
19825, 57776, 19939
19825, 3734, 57776
55336, 16479, 1475
55336, 24378, 16479
57776, 19836, 3745
57776, 19938, 19836
24269, 55336, 24379
24269, 5774, 55336
55346, 24269, 5775
55346, 24368, 24269
24258, 55346, 24369
24258, 5764, 55346
19836, 57766, 19949
19836, 3744, 57766
57766, 19847, 3755
57766, 19948, 19847
57736, 15187, 182
57736, 19978, 15187
19869, 57736, 19979
19869, 3774, 57736
57746, 19869, 3775
57746, 19968, 19869
19858, 57746, 19969
19858, 3764, 57746
57756, 19858, 3765
57756, 19958, 19858
19847, 57756, 19959
19847, 3754, 57756
4735, 22139, 56575
4735, 22025, 22139
22129, 56586, 4735
22129, 4735, 22026
4725, 22129, 56585
4725, 22014, 22129
22139, 56576, 4745
22139, 4745, 22037
4745, 22149, 56565
4745, 22036, 22149
22119, 56596, 4725
